,bic_x,bic_y,bic_z,bic_n,PCECC96 Fore,GDPC1 Fore,CPIAUCSL Fore,PPIACO Fore,PCECC96,GDPC1,CPIAUCSL,PPIACO
2001/6/1,33.72699215,101.9825216,0.080409368,1.654634409,33.72699215,101.9825216,0.080409368,1.654634409,-14.276,115.11,-0.4334,-1.5334
2001/9/1,34.7824333,-14.28883206,0.003101756,0.061877989,34.7824333,-14.28883206,0.003101756,0.061877989,9.422,-132.494,-0.7333,-2.8666
2001/12/1,14.0552452,113.2324337,0.516035533,-0.654065225,14.0552452,113.2324337,0.516035533,-0.654065225,102.089,91.275,-0.6333,-3.9667
2002/3/1,-56.33174877,6.602321505,0.35210893,-2.534293498,-56.33174877,6.602321505,0.35210893,-2.534293498,-104.824,80.068,0.7,-0.5
2002/6/1,37.86415741,-30.65387731,0.01492567,-0.02289929,37.86415741,-30.65387731,0.01492567,-0.02289929,18.766,-34.993,0.8333,1.9333
2002/9/1,28.38413285,15.30510933,-0.584260713,1.323961225,28.38413285,15.30510933,-0.584260713,1.323961225,19.349,-21.23,-0.4334,0.8334
2002/12/1,-10.78615176,23.60533285,-0.203428116,0.724452498,-10.78615176,23.60533285,-0.203428116,0.724452498,-13.189,-38.96,0.1001,1.4
2003/3/1,8.032997955,47.12914648,0.160043269,1.034686945,8.032997955,47.12914648,0.160043269,1.034686945,-9.272,54.261,0.8,4.9666
2003/6/1,17.84434847,-4.552410722,-0.300726725,3.040073139,17.84434847,-4.552410722,-0.300726725,3.040073139,60.353,42.069,-2.1667,-0.8666
2003/9/1,-36.91406789,-23.76799434,0.506484855,-0.094921605,-36.91406789,-23.76799434,0.506484855,-0.094921605,33.2,116.24,1.6666,0.9
2003/12/1,-49.80897468,-101.3068472,0.178089154,0.761678754,-49.80897468,-101.3068472,0.178089154,0.761678754,-72.578,-72.958,-0.6666,1.1666
2004/3/1,24.77495645,-17.40350969,-0.318435099,0.891157773,24.77495645,-17.40350969,-0.318435099,0.891157773,20.59,-85.07,0.8667,2.9667
2004/6/1,5.512937511,30.90730017,-0.381142641,1.768534668,5.512937511,30.90730017,-0.381142641,1.768534668,-24.948,32.874,-0.1,4.0667
2004/9/1,16.90670252,-11.72538406,-0.142429357,2.379034347,16.90670252,-11.72538406,-0.142429357,2.379034347,47.115,27.085,-0.2667,1.4333
2004/12/1,-22.08590685,-24.86646495,0.073689712,1.052809252,-22.08590685,-24.86646495,0.073689712,1.052809252,-0.592,9.431,0.8333,2.8333
2005/3/1,-15.33942994,-25.80778178,-0.309932888,1.753034199,-15.33942994,-25.80778178,-0.309932888,1.753034199,-48.648,16.834,-1.0666,1.5334
2005/6/1,24.8189659,-35.46937619,0.368833641,1.11690665,24.8189659,-35.46937619,0.368833641,1.11690665,55.086,-93.546,0.3333,2.4666
2005/9/1,-22.25463166,39.14360201,0.026463587,1.58574695,-22.25463166,39.14360201,0.026463587,1.58574695,-15.187,64.092,1.6333,4.1667
2005/12/1,-4.887178477,-28.08093913,-0.96390892,2.488585941,-4.887178477,-28.08093913,-0.96390892,2.488585941,-67.404,-37.729,-1.1,5.6
2006/3/1,51.32082094,13.79949064,-0.029228501,3.41132975,51.32082094,13.79949064,-0.029228501,3.41132975,83.341,105.886,-0.7999,-1.5333
2006/6/1,-31.09121987,-73.45434958,0.893118891,-0.292075692,-31.09121987,-73.45434958,0.893118891,-0.292075692,-61.344,-164.75,0.7666,2.6333
2006/9/1,15.37669578,76.6517143,-0.05063027,1.606313111,15.37669578,76.6517143,-0.05063027,1.606313111,10.658,-12.016,0.1,1.3
2006/12/1,19.17352503,50.41443666,-0.350349043,1.021934929,19.17352503,50.41443666,-0.350349043,1.021934929,37.901,106.897,-2.7334,-2.5667
2007/3/1,-27.8027371,-34.01812068,1.429175575,-0.657570011,-27.8027371,-34.01812068,1.429175575,-0.657570011,-41.903,-94.16,2.8171,2.5667
2007/6/1,16.4554138,59.42423952,-0.400260811,1.502346908,16.4554138,59.42423952,-0.400260811,1.502346908,-39.202,52.357,0.3303,6.1333
2007/9/1,53.31467563,0.430600067,-1.634004046,3.067550568,53.31467563,0.430600067,-1.634004046,3.067550568,40.066,-4.104,-1.006,0.8334
2007/12/1,2.610489571,14.15735572,0.443545633,0.990693097,2.610489571,14.15735572,0.443545633,0.990693097,-29.333,10.576,1.2427,3.7666
2008/3/1,22.2828596,5.958095718,-0.230628218,3.576091734,22.2828596,5.958095718,-0.230628218,3.576091734,-58.676,-185.813,-0.2707,6.4334
2008/6/1,75.49202958,151.7380619,-0.413013772,2.996867663,75.49202958,151.7380619,-0.413013772,2.996867663,45.625,171.509,0.488,12.1333
2008/9/1,17.92811053,-19.97691149,-0.134190186,7.211011252,17.92811053,-19.97691149,-0.134190186,7.211011252,-97.093,-166.201,0.5553,4.4667
2008/12/1,49.25383419,142.9076778,-0.51759107,2.693472841,49.25383419,142.9076778,-0.51759107,2.693472841,-18.647,-253.729,-8.3356,-22.4334
2009/3/1,51.08503096,210.9732505,5.880705486,-13.08733424,51.08503096,210.9732505,5.880705486,-13.08733424,74.802,166.918,3.5413,-8.5
2009/6/1,-44.91342418,20.7373548,2.347747141,2.692586304,-44.91342418,20.7373548,2.347747141,2.692586304,-18.686,150.264,2.6003,1.8
2009/9/1,-19.2522006,-77.29286771,-0.008232322,0.420233296,-19.2522006,-77.29286771,-0.008232322,0.420233296,114.232,76.928,0.7077,2.5334
2009/12/1,-74.32281458,-102.5970169,-0.459206025,1.909635934,-74.32281458,-102.5970169,-0.459206025,1.909635934,-87.425,111.731,-0.151,3.0333
2010/3/1,8.421220682,-48.33829813,-0.387564467,1.445101989,8.421220682,-48.33829813,-0.387564467,1.445101989,67.344,-107.749,-1.342,5.1667
2010/6/1,-39.37155684,15.04443239,0.467795746,2.873493414,-39.37155684,15.04443239,0.467795746,2.873493414,31.929,83.045,-0.4207,2.1666
2010/9/1,-47.14352451,-41.44916216,0.80681124,0.524524696,-47.14352451,-41.44916216,0.80681124,0.524524696,-9.522,-27.442,0.7137,0.4
2010/12/1,-4.631565611,-7.556388292,0.331825369,0.830230592,-4.631565611,-7.556388292,0.331825369,0.830230592,-3.537,-36.032,1.1277,3.3667
2011/3/1,6.467148442,10.71318868,-0.399902455,2.275912692,6.467148442,10.71318868,-0.399902455,2.275912692,-24.915,-116.529,0.58,7.9
2011/6/1,18.97380333,72.2173813,-0.780178396,4.016773084,18.97380333,72.2173813,-0.780178396,4.016773084,-21.829,150.213,0.1799,7.8
2011/9/1,28.72879045,-16.23752586,-0.904421989,3.077859217,28.72879045,-16.23752586,-0.904421989,3.077859217,18.469,-116.738,-1.0602,0.1333
2011/12/1,2.974573156,64.82903494,-0.277024514,-0.633101205,2.974573156,64.82903494,-0.277024514,-0.633101205,-22.525,187.803,-0.4498,-3.0666
2012/3/1,8.508492851,-84.81584284,0.160972026,-0.374613341,8.508492851,-84.81584284,0.160972026,-0.374613341,67.553,-58.096,0.2641,1.4
2012/6/1,-36.69479372,-7.373935009,0.00205756,1.982701618,-36.69479372,-7.373935009,0.00205756,1.982701618,-71.128,-55.922,-0.7967,-0.3667
2012/9/1,30.10169453,18.84124028,0.428004595,-0.323009218,30.10169453,18.84124028,0.428004595,-0.323009218,1.65,-47.529,0.551,0.6
2012/12/1,24.99402605,39.84360953,0.223981326,1.494860925,24.99402605,39.84360953,0.223981326,1.494860925,31.403,-3.389,0.4953,-0.1333
2013/3/1,-21.74895276,36.92058134,-0.214744724,0.09052454,-21.74895276,36.92058134,-0.214744724,0.09052454,7.999,125.355,-0.5983,1.3333
2013/6/1,-11.08108519,-36.1506569,0.118302445,1.667433523,-11.08108519,-36.1506569,0.118302445,1.667433523,-49.335,-123.61,-1.1843,0.3667
2013/9/1,23.94599515,37.78858255,0.908145583,0.281857163,23.94599515,37.78858255,0.908145583,0.281857163,37.238,108.289,1.5093,0.2
2013/12/1,-7.077582729,-41.97825804,0.119576533,0.945987786,-7.077582729,-41.97825804,0.119576533,0.945987786,50.989,3.459,-0.3923,-2.2667
2014/3/1,-47.75859136,-24.28350049,0.080634695,-0.77131496,-47.75859136,-24.28350049,0.080634695,-0.77131496,-51.855,-179.073,0.5956,3.6
2014/6/1,15.43234491,79.13507156,-0.145902714,3.293772956,15.43234491,79.13507156,-0.145902714,3.293772956,79.441,272.044,-0.207,2.7
2014/9/1,-34.08213361,-124.5392459,-0.154309622,0.697392215,-34.08213361,-124.5392459,-0.154309622,0.697392215,-0.802,-19.312,-0.6453,-1.0667
2014/12/1,-28.56499854,-73.3682369,0.315287259,0.065405209,-28.56499854,-73.3682369,0.315287259,0.065405209,17.118,-109.683,-1.196,-6.7
2015/3/1,-10.06664199,-3.873217957,1.097310836,-2.671090403,-10.06664199,-3.873217957,1.097310836,-2.671090403,-42.978,38.602,-0.9786,-8.9
2015/6/1,24.21582909,-28.38764435,1.76654128,-2.505711388,24.21582909,-28.38764435,1.76654128,-2.505711388,-3.289,-6.453,3.1869,1.5
2015/9/1,19.45707487,-15.7594142,-0.126384272,3.127638336,19.45707487,-15.7594142,-0.126384272,3.127638336,-3.252,-70.536,-0.694,-1.4
2015/12/1,4.691851175,22.05808373,-0.148592234,-1.586719685,4.691851175,22.05808373,-0.148592234,-1.586719685,-36.975,-51.873,-0.9153,-6.0666
2016/3/1,27.09282386,53.60805933,0.662574969,-1.648688169,27.09282386,53.60805933,0.662574969,-1.648688169,40.357,82.257,-0.1003,-3.5667
2016/6/1,-6.342055076,0.967457579,0.733776728,-0.309800727,-6.342055076,0.967457579,0.733776728,-0.309800727,-6.92,-5.359,1.7973,3.3667
2016/9/1,0.833373421,4.577197904,-0.396094056,2.864555603,0.833373421,4.577197904,-0.396094056,2.864555603,-9.293,13.079,-0.591,1.7
2016/12/1,6.983631492,-4.499193228,-0.255409166,0.132524537,6.983631492,-4.499193228,-0.255409166,0.132524537,-1.529,-6.5,0.448,0
2017/3/1,4.812771007,-0.589022078,-0.372998034,0.700342592,4.812771007,-0.589022078,-0.372998034,0.700342592,-2.663,11.868,0.103,4.2
2017/6/1,2.638394287,-9.416134347,-0.540653766,2.779444172,2.638394287,-9.416134347,-0.540653766,2.779444172,0.415,-5.233,-1.431,1.8666
2017/9/1,0.950400097,-6.154802605,0.385828991,0.289959732,0.950400097,-6.154802605,0.385828991,0.289959732,-0.619,46.718,1.0683,0.9
2017/12/1,0.564529019,-35.04511938,-0.131002833,1.146944875,0.564529019,-35.04511938,-0.131002833,1.146944875,70.05,16.396,0.6017,1.6667
2018/3/1,-43.29857971,-44.20870315,-0.698835843,1.104644793,-43.29857971,-44.20870315,-0.698835843,1.104644793,-90.243,-43.116,0.072,3.1333
2018/6/1,30.87646919,-15.02102751,-0.740569257,1.972719553,30.87646919,-15.02102751,-0.740569257,1.972719553,73.101,44.091,-0.6486,3.7334
2018/9/1,-18.14703286,-42.19506353,-0.334250026,1.839355406,-18.14703286,-42.19506353,-0.334250026,1.839355406,-15.68,-25.296,-0.0784,1.2
2018/12/1,-14.40360621,-25.35415783,-0.198401662,0.484290095,-14.40360621,-25.35415783,-0.198401662,0.484290095,-64.11,-83.757,-0.3197,-1.1334
2019/3/1,51.51961875,27.45535385,-0.019588109,-0.08195087,51.51961875,27.45535385,-0.019588109,-0.08195087,-9.485,92.905,-0.378,-2.8333
2019/6/1,31.13392026,-31.61680814,0.260636306,-0.758909361,31.13392026,-31.61680814,0.260636306,-0.758909361,100.751,-47.194,1.2757,1.5