,PCECC96 Fore a=0.6,GDPC1 Fore a=0.6,CPIAUCSL Fore a=0.6,PPIACO Fore a=0.6,PCECC96,GDPC1,CPIAUCSL,PPIACO
2001/6/1,-27.44924277,-72.34049758,0.196850314,2.062401172,-14.276,115.11,-0.4334,-1.5334
2001/9/1,-19.54529711,40.12980097,-0.181299875,-0.095079531,9.422,-132.494,-0.7333,-2.8666
2001/12/1,-2.164918844,-63.44447961,-0.51249995,-1.757991812,102.089,91.275,-0.6333,-3.9667
2002/3/1,60.38743246,29.38720816,-0.58497998,-3.083216725,-104.824,80.068,0.7,-0.5
2002/6/1,-38.73942701,59.79568326,0.186008008,-1.53328669,18.766,-34.993,0.8333,1.9333
2002/9/1,-4.236170806,2.922473305,0.574383203,0.546665324,19.349,-21.23,-0.4334,0.8334
2002/12/1,9.914931678,-11.56901068,-0.030286719,0.71870613,-13.189,-38.96,0.1001,1.4
2003/3/1,-3.947427329,-28.00360427,0.047945313,1.127482452,-9.272,54.261,0.8,4.9666
2003/6/1,-7.142170932,21.35515829,0.499178125,3.430952981,60.353,42.069,-2.1667,-0.8666
2003/9/1,33.35493163,33.78346332,-1.10034875,0.852421192,33.2,116.24,1.6666,0.9
2003/12/1,33.26197265,83.25738533,0.5598205,0.880968477,-72.578,-72.958,-0.6666,1.1666
2004/3/1,-30.24201094,-10.47184587,-0.1760318,1.052347391,20.59,-85.07,0.8667,2.9667
2004/6/1,0.257195624,-55.23073835,0.44960728,2.200958956,-24.948,32.874,-0.1,4.0667
2004/9/1,-14.86592175,-2.367895339,0.119842912,3.320403583,47.115,27.085,-0.2667,1.4333
2004/12/1,22.3226313,15.30384186,-0.112082835,2.188141433,-0.592,9.431,0.8333,2.8333
2005/3/1,8.57385252,11.78013675,0.455146866,2.575236573,-48.648,16.834,-1.0666,1.5334
2005/6/1,-25.75925899,14.8124547,-0.457901254,1.950134629,55.086,-93.546,0.3333,2.4666
2005/9/1,22.7478964,-50.20261812,0.016819499,2.260013852,-15.187,64.092,1.6333,4.1667
2005/12/1,-0.013041439,18.37415275,0.986707799,3.404025541,-67.404,-37.729,-1.1,5.6
2006/3/1,-40.44761658,-15.2877389,-0.26531688,4.721610216,83.341,105.886,-0.7999,-1.5333
2006/6/1,33.82555337,57.41650444,-0.586066752,0.968664087,-61.344,-164.75,0.7666,2.6333
2006/9/1,-23.27617865,-75.88339822,0.225533299,1.967445635,10.658,-12.016,0.1,1.3
2006/12/1,-2.915671461,-37.56295929,0.15021332,1.566978254,37.901,106.897,-2.7334,-2.5667
2007/3/1,21.57433142,49.11301628,-1.579954672,-0.913228698,-41.903,-94.16,2.8171,2.5667
2007/6/1,-16.51206743,-36.85079349,1.058278131,1.174728521,-39.202,52.357,0.3303,6.1333
2007/9/1,-30.12602697,16.67388261,0.621491252,4.149871408,40.066,-4.104,-1.006,0.8334
2007/12/1,11.98918921,4.207153042,-0.355003499,2.159988563,-29.333,10.576,1.2427,3.7666
2008/3/1,-12.80412432,8.028461217,0.6036186,3.123955425,-58.676,-185.813,-0.2707,6.4334
2008/6/1,-40.32724973,-108.2764155,0.07902744,5.10962217,45.625,171.509,0.488,12.1333
2008/9/1,11.24410011,59.59483379,0.324410976,9.323828868,-97.093,-166.201,0.5553,4.4667
2008/12/1,-53.75815996,-75.88266648,0.46294439,6.409551547,-18.647,-253.729,-8.3356,-22.4334
2009/3/1,-32.69146398,-182.5904666,-4.816182244,-10.89621938,74.802,166.918,3.5413,-8.5
2009/6/1,31.80461441,27.11461336,0.198307102,-9.458487752,-18.686,150.264,2.6003,1.8
2009/9/1,1.510245763,101.0042453,1.639502841,-2.703395101,114.232,76.928,0.7077,2.5334
2009/12/1,69.14329831,86.55849814,1.080421136,0.43868196,-87.425,111.731,-0.151,3.0333
2010/3/1,-24.79768068,101.6619993,0.341568455,1.995452784,67.344,-107.749,-1.342,5.1667
2010/6/1,30.48732773,-23.9846003,-0.668572618,3.898201114,31.929,83.045,-0.4207,2.1666
2010/9/1,31.35233109,40.23315988,-0.519849047,2.859240445,-9.522,-27.442,0.7137,0.4
2010/12/1,6.827732437,-0.371936048,0.220280381,1.383696178,-3.537,-36.032,1.1277,3.3667
2011/3/1,0.608892975,-21.76797442,0.764732152,2.573498471,-24.915,-116.529,0.58,7.9
2011/6/1,-14.70544281,-78.62458977,0.653892861,5.769399389,-21.829,150.213,0.1799,7.8
2011/9/1,-18.97957712,58.67796409,0.369497144,6.987759755,18.469,-116.738,-1.0602,0.1333
2011/12/1,3.48956915,-46.57161436,-0.488321142,2.875083902,-22.525,187.803,-0.4498,-3.0666
2012/3/1,-12.11917234,94.05315425,-0.465208457,-0.689926439,67.553,-58.096,0.2641,1.4
2012/6/1,35.68413106,2.763661702,-0.027623383,0.564029424,-71.128,-55.922,-0.7967,-0.3667
2012/9/1,-28.40314757,-32.44773532,-0.489069353,0.00559177,1.65,-47.529,0.551,0.6
2012/12/1,-10.37125903,-41.49649413,0.134972259,0.362236708,31.403,-3.389,0.4953,-0.1333
2013/3/1,14.69329639,-18.63199765,0.351168904,0.064914683,7.999,125.355,-0.5983,1.3333
2013/6/1,10.67671856,67.76020094,-0.218512439,0.825945873,-49.335,-123.61,-1.1843,0.3667
2013/9/1,-25.33031258,-47.06191962,-0.797984975,0.550398349,37.238,108.289,1.5093,0.2
2013/12/1,12.21067497,46.14863215,0.58638601,0.34015934,50.989,3.459,-0.3923,-2.2667
2014/3/1,35.47766999,20.53485286,-0.000825596,-1.223956264,-51.855,-179.073,0.5956,3.6
2014/6/1,-16.921932,-99.22985886,0.357029762,1.670417494,79.441,272.044,-0.207,2.7
2014/9/1,40.8958272,123.5344565,0.018611905,2.288166998,-0.802,-19.312,-0.6453,-1.0667
2014/12/1,15.87713088,37.82658258,-0.379735238,0.275246799,17.118,-109.683,-1.196,-6.7
2015/3/1,16.62165235,-50.67916697,-0.869494095,-3.90990128,-42.978,38.602,-0.9786,-8.9
2015/6/1,-19.13813906,2.889533213,-0.934957638,-6.903960512,-3.289,-6.453,3.1869,1.5
2015/9/1,-9.628655624,-2.715986715,1.538156945,-1.861584205,-3.252,-70.536,-0.694,-1.4
2015/12/1,-5.802662249,-43.40799469,0.198862778,-1.584633682,-36.975,-51.873,-0.9153,-6.0666
2016/3/1,-24.5060649,-48.48699787,-0.469634889,-4.273813473,40.357,82.257,-0.1003,-3.5667
2016/6/1,14.41177404,29.95940085,-0.248033956,-3.849545389,-6.92,-5.359,1.7973,3.3667
2016/9/1,1.612709616,8.76836034,0.979166418,0.480201844,-9.293,13.079,-0.591,1.7
2016/12/1,-4.930716154,11.35474414,0.037066567,1.212080738,-1.529,-6.5,0.448,0
2017/3/1,-2.889686461,0.641897654,0.283626627,0.484832295,-2.663,11.868,0.103,4.2
2017/6/1,-2.753674585,7.377559062,0.175250651,2.713932918,0.415,-5.233,-1.431,1.8666
2017/9/1,-0.852469834,-0.188776375,-0.78849974,2.205533167,-0.619,46.718,1.0683,0.9
2017/12/1,-0.712387934,27.95528945,0.325580104,1.422213267,70.05,16.396,0.6017,1.6667
2018/3/1,41.74504483,21.01971578,0.491252042,1.568905307,-90.243,-43.116,0.072,3.1333
2018/6/1,-37.44778207,-17.46171369,0.239700817,2.507542123,73.101,44.091,-0.6486,3.7334
2018/9/1,28.88148717,19.46991452,-0.293279673,3.243056849,-15.68,-25.296,-0.0784,1.2
2018/12/1,2.144594869,-7.38963419,-0.164351869,2.01722274,-64.11,-83.757,-0.3197,-1.1334
2019/3/1,-37.60816205,-53.21005368,-0.257560748,0.126849096,-9.485,92.905,-0.378,-2.8333
2019/6/1,-20.73426482,34.45897853,-0.329824299,-1.649240362,100.751,-47.194,1.2757,1.5